"Code","Libellé"
"ec11","En contrat d'apprentissage ou de professionnalisation"
"ec12","Placés par une agence d'intérim"
"ec13","Emplois aidés (contrat unique d'insertion, d'initiative emploi, d'accompagnement dans l'emploi, avenir, etc.)"
"ec14","Stagiaires rémunérés en entreprise"
"ec15","Autres emplois à durée limitée, CDD, contrat court, saisonnier, vacataire, etc."
"ec16","Emplois sans limite de durée, CDI, titulaire de la fonction publique"
"ec21","Non salariés : Indépendants"
"ec22","Non salariés : Employeurs"
"ec23","Non salariés : Aides familiaux"
